Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-19 00:00:00-05:00,9.732515097742251,9.732515097742251,9.535189141815858,9.592045783996582,298400,0.0,0.0
2002-02-20 00:00:00-05:00,9.592045931256804,9.8060941696167,9.555256151070921,9.8060941696167,802000,0.0,0.0
2002-02-21 00:00:00-05:00,9.799404372419385,9.832849566990536,9.53184409167824,9.535188674926758,381400,0.0,0.0
2002-02-22 00:00:00-05:00,9.571974615685143,9.765955900940842,9.538529434520965,9.605419158935547,500200,0.0,0.0
2002-02-25 00:00:00-05:00,9.598734686121166,9.856261222624815,9.598734686121166,9.745892524719238,617400,0.0,0.0
2002-02-26 00:00:00-05:00,9.755926437279085,9.812783078839514,9.665624599874745,9.779337882995605,536400,0.0,0.0
2002-02-27 00:00:00-05:00,9.745894748336422,9.9231538772583,9.732517049918005,9.9231538772583,633200,0.0,0.0
2002-02-28 00:00:00-05:00,9.919806573313128,10.000074655557887,9.732514381408691,9.732514381408691,438200,0.0,0.0
2002-03-01 00:00:00-05:00,9.735856110921034,9.943215103129655,9.685688016047951,9.916459083557129,719200,0.0,0.0
2002-03-04 00:00:00-05:00,9.913119203878784,10.143890380859375,9.913119203878784,10.143890380859375,897000,0.0,0.0
2002-03-05 00:00:00-05:00,10.140545099838612,10.297737336761122,10.073655342732808,10.170645713806152,887200,0.0,0.0
2002-03-06 00:00:00-05:00,10.173990965019783,10.317804877210513,10.133856597791205,10.257603645324707,466400,0.0,0.0
2002-03-07 00:00:00-05:00,10.338029050706133,10.388294865772128,10.220741722775802,10.271007537841797,495800,0.03,0.0
2002-03-08 00:00:00-05:00,10.324626256763661,10.555849812576675,10.31457347553133,10.441913604736328,1286000,0.0,0.0
2002-03-11 00:00:00-05:00,10.498880080331288,10.539093116517646,10.304518456953701,10.381592750549316,368400,0.0,0.0
2002-03-12 00:00:00-05:00,10.351431961206245,10.3547831004394,10.254251480102539,10.254251480102539,235400,0.0,0.0
2002-03-13 00:00:00-05:00,10.257602695569444,10.421804684227698,10.254251556311383,10.374889373779297,410400,0.0,0.0
2002-03-14 00:00:00-05:00,10.384943127002277,10.438560078534247,10.321272757371382,10.405049324035645,772600,0.0,0.0
2002-03-15 00:00:00-05:00,10.505579997359295,10.532388469067428,10.418452304516766,10.522335052490234,462000,0.0,0.0
2002-03-18 00:00:00-05:00,10.498879694635514,10.555847787627386,10.441911601643644,10.525688171386719,511200,0.0,0.0
2002-03-19 00:00:00-05:00,10.582652217509223,10.750205932086335,10.428503694928242,10.602758407592773,630000,0.0,0.0
2002-03-20 00:00:00-05:00,10.572601105906983,10.72339916229248,10.522335300166617,10.72339916229248,576200,0.0,0.0
2002-03-21 00:00:00-05:00,10.72340037099777,10.726750871148973,10.33802829799793,10.559198379516602,451400,0.0,0.0
2002-03-22 00:00:00-05:00,10.52233587723926,10.984782210242566,10.52233587723926,10.8674955368042,956400,0.0,0.0
2002-03-25 00:00:00-05:00,10.857440881955261,11.011589419924503,10.756908004008793,10.984780311584473,741200,0.0,0.0
2002-03-26 00:00:00-05:00,10.911056467808194,11.058502710415478,10.787066274597935,11.038395881652832,534600,0.0,0.0
2002-03-27 00:00:00-05:00,10.974728349429457,11.283025448243116,10.964675572220369,11.226058006286621,1479800,0.0,0.0
2002-03-28 00:00:00-05:00,11.269621315516444,11.336642807920708,11.226057153704378,11.259567260742188,751800,0.0,0.0
2002-04-01 00:00:00-05:00,11.138931997073472,11.326590673629552,11.09871832781529,11.2160062789917,551800,0.0,0.0
2002-04-02 00:00:00-05:00,11.108772411832202,11.226059084970498,11.014941794992701,11.04175090789795,564400,0.0,0.0
2002-04-03 00:00:00-05:00,11.0115921957219,11.0115921957219,10.807177167250572,10.833986282348633,289000,0.0,0.0
2002-04-04 00:00:00-05:00,10.80717563424976,11.058505300162544,10.756909189735687,11.055154800415039,340200,0.0,0.0
2002-04-05 00:00:00-05:00,11.041749412819234,11.216004788122161,11.004887526730137,11.16238784790039,846000,0.0,0.0
2002-04-08 00:00:00-04:00,11.092019190970948,11.095370970189482,10.870849060728899,11.0082426071167,1462200,0.0,0.0
2002-04-09 00:00:00-04:00,11.05516027684904,11.266276380400388,10.994841024883108,11.222713470458984,991400,0.0,0.0
2002-04-10 00:00:00-04:00,11.259565732468637,11.778981269354329,11.192545527489745,11.695204734802246,1008200,0.0,0.0
2002-04-11 00:00:00-04:00,11.711958490062926,11.711958490062926,11.40366021229513,11.507543563842773,707200,0.0,0.0
2002-04-12 00:00:00-04:00,11.5108976762284,11.7521745538538,11.500844899103583,11.701908111572266,711800,0.0,0.0
2002-04-15 00:00:00-04:00,11.698555633065883,11.745470289483992,11.500842953640637,11.510895729064941,606200,0.0,0.0
2002-04-16 00:00:00-04:00,11.514245253811051,11.758872541796215,11.51089347710634,11.738765716552734,780400,0.0,0.0
2002-04-17 00:00:00-04:00,11.742120891289304,11.762226444022833,11.577918300103235,11.618130683898926,340800,0.0,0.0
2002-04-18 00:00:00-04:00,11.614780398093858,11.644940006077277,11.356748480530982,11.497493743896484,653000,0.0,0.0
2002-04-19 00:00:00-04:00,11.55111393827363,11.561166717658482,11.407018134888666,11.544411659240723,307800,0.0,0.0
2002-04-22 00:00:00-04:00,11.527653300181418,11.577918461042586,11.12552562164883,11.306483268737793,533200,0.0,0.0
2002-04-23 00:00:00-04:00,11.373507499694824,11.403667118193644,11.226061186105644,11.373507499694824,520000,0.0,0.0
2002-04-24 00:00:00-04:00,11.41036784159905,11.541059077828045,10.676485595982193,10.803826332092285,1561200,0.0,0.0
2002-04-25 00:00:00-04:00,10.787069379788807,10.924462886729426,10.706644598243928,10.877548217773438,747400,0.0,0.0
2002-04-26 00:00:00-04:00,10.921113637446764,10.931166416708866,10.706645824328568,10.773667335510254,586200,0.0,0.0
2002-04-29 00:00:00-04:00,10.726747821725784,10.773663758807844,10.619514589931088,10.639620780944824,633600,0.0,0.0
2002-04-30 00:00:00-04:00,10.686536252100868,10.756908245580853,10.435206608247777,10.545791625976562,1340000,0.0,0.0
2002-05-01 00:00:00-04:00,10.552493397228405,10.890950711421528,10.505578737157936,10.82728099822998,859200,0.0,0.0
2002-05-02 00:00:00-04:00,10.887601093968163,10.914408925467464,10.756908601049654,10.91105842590332,530600,0.0,0.0
2002-05-03 00:00:00-04:00,10.85744207876383,11.14563235521431,10.810526133997264,11.055154800415039,827600,0.0,0.0
2002-05-06 00:00:00-04:00,11.108770644808995,11.142280752281385,10.957972604525922,11.09201431274414,544000,0.0,0.0
2002-05-07 00:00:00-04:00,11.09537067367,11.226061936457281,11.024998651912108,11.068561553955078,416400,0.0,0.0
2002-05-08 00:00:00-04:00,11.068558790181255,11.175792685606707,10.901005668787878,11.05850601196289,615800,0.0,0.0
2002-05-09 00:00:00-04:00,11.045098902456223,11.0786102859863,10.823928884472002,10.840683937072754,507800,0.0,0.0
2002-05-10 00:00:00-04:00,10.84068647126049,10.988134036603967,10.699942462518667,10.88425064086914,290400,0.0,0.0
2002-05-13 00:00:00-04:00,10.927813684682052,11.303132280990035,10.901004574352827,11.226058006286621,616200,0.0,0.0
2002-05-14 00:00:00-04:00,11.226060812220757,11.608081781596516,11.222710311756522,11.474040031433105,674000,0.0,0.0
2002-05-15 00:00:00-04:00,11.413718480228633,11.577919814564588,11.360101535378085,11.527654647827148,397200,0.0,0.0
2002-05-16 00:00:00-04:00,11.5544666426381,11.561168922949467,11.27297726120703,11.276329040527344,363400,0.0,0.0
2002-05-17 00:00:00-04:00,11.37685786327669,11.557815551757812,11.309836355136023,11.557815551757812,371800,0.0,0.0
2002-05-20 00:00:00-04:00,11.474040847463103,11.557817426646793,11.393614768981934,11.393614768981934,407800,0.0,0.0
2002-05-21 00:00:00-04:00,11.393605383805895,11.477381893980938,11.159030899650153,11.343338966369629,352800,0.0,0.0
2002-05-22 00:00:00-04:00,11.296430424942786,11.4673353138472,11.296430424942786,11.463983535766602,432600,0.0,0.0
2002-05-23 00:00:00-04:00,11.393613382900451,11.574571078721945,11.22941074521154,11.5645170211792,677400,0.0,0.0
2002-05-24 00:00:00-04:00,11.557812959863321,11.624833174645445,11.477386912464654,11.497493743896484,280400,0.0,0.0
2002-05-28 00:00:00-04:00,11.407016060228848,11.480738559524458,11.175791949799171,11.27297306060791,468000,0.0,0.0
2002-05-29 00:00:00-04:00,11.242813449609638,11.309834949420107,11.226058394239217,11.27297306060791,248400,0.0,0.0
2002-05-30 00:00:00-04:00,11.222709327576418,11.386910680834474,11.165740598047844,11.383560180664062,646800,0.0,0.0
2002-05-31 00:00:00-04:00,11.383561756781608,11.52765757231017,11.343348079195179,11.353402137756348,607400,0.0,0.0
2002-06-03 00:00:00-04:00,11.376860802789357,11.45728561067488,11.19255256652832,11.19255256652832,419000,0.0,0.0
2002-06-04 00:00:00-04:00,11.159040220364233,11.209306679786124,10.961327440076179,11.118827819824219,521400,0.0,0.0
2002-06-05 00:00:00-04:00,11.145680436009515,11.256465145356348,11.06175212140198,11.246394157409668,368800,0.03,0.0
2002-06-06 00:00:00-04:00,11.269894013785164,11.273251863539516,10.900609940762623,10.997965812683105,552000,0.0,0.0
2002-06-07 00:00:00-04:00,11.031539114466913,11.122181858088945,10.833468218547196,11.018110275268555,560000,0.0,0.0
2002-06-10 00:00:00-04:00,11.028179142102509,11.24639325482704,10.950965252537735,11.175893783569336,322600,0.0,0.0
2002-06-11 00:00:00-04:00,11.135610499503496,11.263181923004154,11.021469197151777,11.078539848327637,487800,0.0,0.0
2002-06-12 00:00:00-04:00,11.05839792538385,11.320255224316002,10.994612846239349,11.290040969848633,741800,0.0,0.0
2002-06-13 00:00:00-04:00,11.326971107238633,11.347113092386486,11.249755895355065,11.253113746643066,364000,0.0,0.0
2002-06-14 00:00:00-04:00,11.249753852989008,11.578754064651848,11.075184037056829,11.49818229675293,824200,0.0,0.0
2002-06-17 00:00:00-04:00,11.514966260355315,11.645894246164383,11.464610032314328,11.535109519958496,715800,0.0,0.0
2002-06-18 00:00:00-04:00,11.561965299845362,11.74996520414371,11.54853774147336,11.71303653717041,535800,0.0,0.0
2002-06-19 00:00:00-04:00,11.743246594110397,11.884246792180011,11.531746937328036,11.56196117401123,1123200,0.0,0.0
2002-06-20 00:00:00-04:00,11.54854148453919,11.7499690124954,11.467969704969711,11.582112312316895,623000,0.0,0.0
2002-06-21 00:00:00-04:00,11.484755118858564,11.595541155685973,11.484755118858564,11.582112312316895,1067800,0.0,0.0
2002-06-24 00:00:00-04:00,11.582111889803702,11.639182551072873,11.360541104876734,11.444469451904297,712200,0.0,0.0
2002-06-25 00:00:00-04:00,11.538471554556699,11.582114664045365,11.232972349426529,11.249757766723633,557000,0.0,0.0
2002-06-26 00:00:00-04:00,11.222899385348017,11.296756745266217,10.910685811969293,11.1926851272583,862600,0.0,0.0
2002-06-27 00:00:00-04:00,11.145684955498355,11.494827193194837,11.118827269224024,11.229613304138184,992000,0.0,0.0
2002-06-28 00:00:00-04:00,11.279963827773456,11.394106375297163,11.162464711489191,11.256464004516602,1078200,0.0,0.0
2002-07-01 00:00:00-04:00,11.290038417048047,11.290038417048047,10.94425285396407,10.961039543151855,786400,0.0,0.0
2002-07-02 00:00:00-04:00,10.961040552969889,10.997967942909147,10.877112221877148,10.914039611816406,651400,0.0,0.0
2002-07-03 00:00:00-04:00,10.914041255416286,11.011398441500098,10.803256507625486,10.86704158782959,962400,0.0,0.0
2002-07-05 00:00:00-04:00,10.977822706460854,11.179250129071603,10.890536550857028,10.984537124633789,712800,0.0,0.0
2002-07-08 00:00:00-04:00,10.877112884564793,11.078540379201455,10.82675537058324,10.840184211730957,711400,0.0,0.0
2002-07-09 00:00:00-04:00,10.809970353573819,11.01811227637264,10.69247055053711,10.69247055053711,1351400,0.0,0.0
2002-07-10 00:00:00-04:00,10.773038472180472,10.903966437553844,10.574967599254375,10.591753005981445,661200,0.0,0.0
2002-07-11 00:00:00-04:00,10.689116028611735,10.762973395548363,10.34333095334977,10.521259307861328,945800,0.0,0.0
2002-07-12 00:00:00-04:00,10.578325950110349,10.850253538428804,10.390326685127912,10.531326293945312,481800,0.0,0.0
2002-07-15 00:00:00-04:00,10.497757056209293,10.702541773030033,10.222472199912044,10.454113960266113,1191800,0.0,0.0
2002-07-16 00:00:00-04:00,10.38025387153355,10.672324685162486,10.323182592563402,10.561538696289062,453400,0.0,0.0
2002-07-17 00:00:00-04:00,10.558185101303367,10.719327355437875,10.28289961675392,10.621970176696777,638800,0.0,0.0
2002-07-18 00:00:00-04:00,10.65553903496386,10.682396070754379,10.390325886572763,10.417182922363281,751200,0.0,0.0
2002-07-19 00:00:00-04:00,10.373541324012342,10.43396982327213,10.071399468035738,10.155327796936035,1232600,0.0,0.0
2002-07-22 00:00:00-04:00,10.108330557543455,10.188901695737426,9.500688849806554,9.551046371459961,994000,0.0,0.0
2002-07-23 00:00:00-04:00,9.50068660351729,9.695400301529654,9.084402167777831,9.269044876098633,966400,0.0,0.0
2002-07-24 00:00:00-04:00,9.279119007770921,9.399976047571487,8.762120658122218,9.265690803527832,1512000,0.0,0.0
2002-07-25 00:00:00-04:00,9.198548058305471,10.04454607437896,9.081048227130394,9.883403778076172,1134200,0.0,0.0
2002-07-26 00:00:00-04:00,9.84982927206117,10.027757569620261,9.500687097301224,9.587972640991211,819200,0.0,0.0
2002-07-29 00:00:00-04:00,9.594686590847463,10.239256186215565,9.594686590847463,10.185542106628418,750600,0.0,0.0
2002-07-30 00:00:00-04:00,10.188901238768103,10.239258117840532,9.745759678414794,10.135187149047852,504600,0.0,0.0
2002-07-31 00:00:00-04:00,10.078116017477441,10.306401222773275,9.97068783623763,10.071401596069336,524800,0.0,0.0
2002-08-01 00:00:00-04:00,10.041187913753294,10.125116265182408,9.5107607583342,9.547689437866211,636400,0.0,0.0
2002-08-02 00:00:00-04:00,9.507400860435315,9.564472148890395,9.349615834858241,9.383187294006348,415600,0.0,0.0
2002-08-05 00:00:00-04:00,9.399973794564293,9.40333100490104,8.782261179695706,8.933332443237305,1260200,0.0,0.0
2002-08-06 00:00:00-04:00,9.064257763230884,9.598041882735814,8.980329450608377,9.45032787322998,662400,0.0,0.0
2002-08-07 00:00:00-04:00,9.621543512286419,9.839757037965251,9.316044448271587,9.718900680541992,654800,0.0,0.0
2002-08-08 00:00:00-04:00,9.772617631188126,9.903545657004642,9.534260775628102,9.900188446044922,400600,0.0,0.0
2002-08-09 00:00:00-04:00,9.880042014250716,10.054613074966305,9.735685200209833,9.950541496276855,503200,0.0,0.0
2002-08-12 00:00:00-04:00,10.004253222440541,10.037824670902848,9.668540018461702,9.843111038208008,445200,0.0,0.0
2002-08-13 00:00:00-04:00,9.833047054644883,10.010974769661367,9.446976082865362,9.504047393798828,417600,0.0,0.0
2002-08-14 00:00:00-04:00,9.446973245618322,9.930400637728454,9.299259836066593,9.913615226745605,481800,0.0,0.0
2002-08-15 00:00:00-04:00,9.775977330064851,10.091547556718767,9.775977330064851,10.00426197052002,424600,0.0,0.0
2002-08-16 00:00:00-04:00,10.000900472885123,10.098257006248605,9.970686221763472,10.068042755126953,337800,0.0,0.0
2002-08-19 00:00:00-04:00,10.104971885681152,10.155328759731043,9.963972254148024,10.104971885681152,361000,0.0,0.0
2002-08-20 00:00:00-04:00,9.98747248935624,10.081472460948603,9.819615808862856,9.906901359558105,408600,0.0,0.0
2002-08-21 00:00:00-04:00,9.90354401020936,10.158686237819547,9.88675859852441,10.151971817016602,565000,0.0,0.0
2002-08-22 00:00:00-04:00,10.155328732637665,10.319828195600381,10.04118614359049,10.25604248046875,469400,0.0,0.0
2002-08-23 00:00:00-04:00,10.219113849316996,10.222471059424413,9.826329231262207,9.826329231262207,409000,0.0,0.0
2002-08-26 00:00:00-04:00,9.819616206985327,10.225829082893878,9.782687530876387,10.145257949829102,380200,0.0,0.0
2002-08-27 00:00:00-04:00,10.229185595515002,10.239257226581802,9.631616239310992,9.705472946166992,606600,0.0,0.0
2002-08-28 00:00:00-04:00,9.722259515540976,9.722259515540976,9.540974617004395,9.540974617004395,336000,0.0,0.0
2002-08-29 00:00:00-04:00,9.514115936792004,9.514115936792004,9.215331274434966,9.332830429077148,913400,0.0,0.0
2002-08-30 00:00:00-04:00,9.248905024966042,9.430190590099146,9.235476820320574,9.262333869934082,378400,0.0,0.0
2002-09-03 00:00:00-04:00,9.235475180676737,9.510760050422425,9.205260925185385,9.309331893920898,581000,0.0,0.0
2002-09-04 00:00:00-04:00,9.309331501024175,9.5482045340764,9.114195557928378,9.34970474243164,894400,0.03,0.0
2002-09-05 00:00:00-04:00,9.302603745710911,9.35306982283374,8.83495044708252,8.83495044708252,1246400,0.0,0.0
2002-09-06 00:00:00-04:00,8.834951638807945,8.982986041152436,8.824858165337501,8.875324249267578,844000,0.0,0.0
2002-09-09 00:00:00-04:00,8.89550849329303,9.295873193636412,8.801304694659418,9.231949806213379,458200,0.0,0.0
2002-09-10 00:00:00-04:00,9.25549718582547,9.37325173031035,9.06036132188591,9.107462882995605,574600,0.0,0.0
2002-09-11 00:00:00-04:00,9.060360742763562,9.32614893137895,9.060360742763562,9.124284744262695,610800,0.0,0.0
2002-09-12 00:00:00-04:00,9.117560538410665,9.154568649837174,8.88541583168558,8.949339866638184,480400,0.0,0.0
